FULL_C0DE,PAR_CODE,PAR_NAME,DUN_CODE,DUN_NAME,DM_CODE,DM_NAME,POPULATION
001/01/01,001,PADANG BESAR,01,TITI TINGGI,01,JALAN PADANG BESAR,1325
001/01/02,001,PADANG BESAR,01,TITI TINGGI,02,TITI TINGGI,2196
001/01/03,001,PADANG BESAR,01,TITI TINGGI,03,FELDA MATA AYER,1008
001/01/04,001,PADANG BESAR,01,TITI TINGGI,04,KAMPONG KASTAM,700
001/01/05,001,PADANG BESAR,01,TITI TINGGI,05,PADANG BESAR,2045
001/01/06,001,PADANG BESAR,01,TITI TINGGI,06,FELDA RIMBA MAS,1114
001/01/07,001,PADANG BESAR,01,TITI TINGGI,07,LUBOK SIREH,921
001/02/01,001,PADANG BESAR,02,BESERI,01,PEKAN KAKI BUKIT,1402
001/02/02,001,PADANG BESAR,02,BESERI,02,TASOH,621
001/02/03,001,PADANG BESAR,02,BESERI,03,GUAR JENTIK,1245
001/02/04,001,PADANG BESAR,02,BESERI,04,BESERI,2166
001/02/05,001,PADANG BESAR,02,BESERI,05,TUNJONG,2955
001/03/01,001,PADANG BESAR,03,CHUPING,01,PANGGAS,2747
001/03/02,001,PADANG BESAR,03,CHUPING,02,SUNGAI BULOH,1745
001/03/03,001,PADANG BESAR,03,CHUPING,03,KILANG GULA CHUPING,417
001/03/04,001,PADANG BESAR,03,CHUPING,04,KUBANG PERUN,1627
001/03/05,001,PADANG BESAR,03,CHUPING,05,GUAR NANGKA,1372
001/03/06,001,PADANG BESAR,03,CHUPING,06,FELDA CHUPING,1964
001/04/01,001,PADANG BESAR,04,MATA AYER,01,TOK KAYA MAN,3209
001/04/02,001,PADANG BESAR,04,MATA AYER,02,HUTAN TEMIN,1728
001/04/03,001,PADANG BESAR,04,MATA AYER,03,KAMPUNG GIAL,1542
001/05/01,001,PADANG BESAR,05,SANTAN,01,KAMPONG DARAT,1191
001/05/02,001,PADANG BESAR,05,SANTAN,02,PAYA,1872
001/05/03,001,PADANG BESAR,05,SANTAN,03,ALOR TAMPANG,1021
001/05/04,001,PADANG BESAR,05,SANTAN,04,PADANG LATI,1159
001/05/05,001,PADANG BESAR,05,SANTAN,05,PADANG PAUH,1366
001/05/06,001,PADANG BESAR,05,SANTAN,06,SANTAN,1635
002/06/01,002,KANGAR,06,BINTONG,01,NESAM,1906
002/06/02,002,KANGAR,06,BINTONG,02,ABI,2059
002/06/03,002,KANGAR,06,BINTONG,03,KECHOR,724
002/06/04,002,KANGAR,06,BINTONG,04,HUTAN MELINTANG,1811
002/06/05,002,KANGAR,06,BINTONG,05,TELOK KACHANG,2311
002/06/06,002,KANGAR,06,BINTONG,06,WANG BINTONG,2075
002/07/01,002,KANGAR,07,SENA,01,KAMPONG SANGLANG,1940
002/07/02,002,KANGAR,07,SENA,02,REPOH,2069
002/07/03,002,KANGAR,07,SENA,03,ALOR LANCHANG,1505
002/07/04,002,KANGAR,07,SENA,04,TAMAN INDERA,561
002/07/05,002,KANGAR,07,SENA,05,TOK PEDUKA,3222
002/07/06,002,KANGAR,07,SENA,06,PADANG BOHOR,986
002/07/07,002,KANGAR,07,SENA,07,PADANG PETANI,537
002/08/01,002,KANGAR,08,INDERA KAYANGAN,01,PADANG KATONG,1058
002/08/02,002,KANGAR,08,INDERA KAYANGAN,02,DERMA,876
002/08/03,002,KANGAR,08,INDERA KAYANGAN,03,PEKAN LAMA KANGAR,1101
002/08/04,002,KANGAR,08,INDERA KAYANGAN,04,PENGKALAN ASSAM,1000
002/08/05,002,KANGAR,08,INDERA KAYANGAN,05,PEKAN BARU KANGAR,1656
002/08/06,002,KANGAR,08,INDERA KAYANGAN,06,SEBERANG BAKAU,2469
002/08/07,002,KANGAR,08,INDERA KAYANGAN,07,BEHOR GANDIN,1869
002/09/01,002,KANGAR,09,KUALA PERLIS,01,SEBERANG ALOR,963
002/09/02,002,KANGAR,09,KUALA PERLIS,02,HUJONG TANJONG,1685
002/09/03,002,KANGAR,09,KUALA PERLIS,03,KEPALA BATAS,3183
002/09/04,002,KANGAR,09,KUALA PERLIS,04,SEBERANG TOK PI,2716
002/09/05,002,KANGAR,09,KUALA PERLIS,05,PADANG BESAR SELATAN,1519
002/10/01,002,KANGAR,10,KAYANG,01,TITI TOK BANDAR,1023
002/10/02,002,KANGAR,10,KAYANG,02,BANGSAL LEBAH,1935
002/10/03,002,KANGAR,10,KAYANG,03,TEMAK,1709
002/10/04,002,KANGAR,10,KAYANG,04,SERIAB,1395
002/10/05,002,KANGAR,10,KAYANG,05,GUNONG UTAN AJI,1885
002/10/06,002,KANGAR,10,KAYANG,06,HUJUNG BATU,1003
003/11/01,003,ARAU,11,PAUH,01,GUAR GAJAH,2991
003/11/02,003,ARAU,11,PAUH,02,PADANG SIDING,1079
003/11/03,003,ARAU,11,PAUH,03,PAUH,2555
003/11/04,003,ARAU,11,PAUH,04,ISTANA,934
003/11/05,003,ARAU,11,PAUH,05,PEKAN ARAU,918
003/11/06,003,ARAU,11,PAUH,06,KUBANG PAYA,1321
003/12/01,003,ARAU,12,TAMBUN TULANG,01,KUBANG GAJAH,1692
003/12/02,003,ARAU,12,TAMBUN TULANG,02,JEJAWI,1493
003/12/03,003,ARAU,12,TAMBUN TULANG,03,KAMPONG BANAT,1024
003/12/04,003,ARAU,12,TAMBUN TULANG,04,KAMPONG SURAU,2160
003/12/05,003,ARAU,12,TAMBUN TULANG,05,MENGKUANG LAYAR,1038
003/12/06,003,ARAU,12,TAMBUN TULANG,06,TAMBUN TULANG,2344
003/13/01,003,ARAU,13,GUAR SANJI,01,GUAR SANJI,1878
003/13/02,003,ARAU,13,GUAR SANJI,02,KAMPONG SENA,1810
003/13/03,003,ARAU,13,GUAR SANJI,03,BEHOR MENTALON,1261
003/13/04,003,ARAU,13,GUAR SANJI,04,CHEMUMAR,1035
003/13/05,003,ARAU,13,GUAR SANJI,05,SERDANG,1804
003/13/06,003,ARAU,13,GUAR SANJI,06,CHANGKAT JAWI,743
003/14/01,003,ARAU,14,SIMPANG EMPAT,01,SUNGAI BEREMBANG,1093
003/14/02,003,ARAU,14,SIMPANG EMPAT,02,BEHOR MALI,921
003/14/03,003,ARAU,14,SIMPANG EMPAT,03,SUNGAI BHARU,2408
003/14/04,003,ARAU,14,SIMPANG EMPAT,04,SIMPANG EMPAT CHE KASIM,1806
003/14/05,003,ARAU,14,SIMPANG EMPAT,05,LAT SERIBU,1500
003/15/01,003,ARAU,15,SANGLANG,01,BONGOR KUDONG,973
003/15/02,003,ARAU,15,SANGLANG,02,BUNGA MAS,1355
003/15/03,003,ARAU,15,SANGLANG,03,SUNGAI PADANG,1266
003/15/04,003,ARAU,15,SANGLANG,04,SIMPANG SANGLANG,980
003/15/05,003,ARAU,15,SANGLANG,05,PADANG KERIA,836
003/15/06,003,ARAU,15,SANGLANG,06,KUALA SANGLANG,1153
003/15/07,003,ARAU,15,SANGLANG,07,TOK PULAU,1683